,yearbuilt,assesstot,longitude,latitude,Cluster
164898,1928.0,71506458.0,-74.0097349,40.707727899999995,0
164907,2004.0,92374669.0,-73.9922719,40.757872,2
164909,2014.0,82530901.0,-73.989855,40.7477931,2
164923,2015.0,72936000.0,-73.9423493,40.7476693,2
164930,1970.0,136530023.0,-73.9814068,40.7715149,3
164947,2017.0,39655785.0,-73.9862031,40.7456326,2
164948,1962.0,46261352.0,-73.9868427,40.7778505,3
164975,1913.0,91610606.0,-74.01058959999999,40.7065311,0
164983,2007.0,34110006.0,-73.967569,40.7555731,2
165032,2005.0,63764573.0,-73.98486020000001,40.747328700000004,2
165054,2016.0,25594222.0,-73.9836367,40.7474054,2
165056,1991.0,46581300.0,-73.9877972,40.770898100000004,3
165071,1998.0,34579346.0,-73.9849779,40.7695062,2
165090,1979.0,32652648.0,-73.9826939,40.764686100000006,3
165138,1910.0,31155222.0,-74.00695470000001,40.7142661,0
165163,2013.0,50956200.0,-74.0017036,40.7519848,2
165171,1986.0,24530465.0,-73.96197420000001,40.7683646,3
165186,2015.0,10400216.0,-73.94152740000001,40.7466286,2
165231,1930.0,25753950.0,-74.0027994,40.7189434,0
165631,2018.0,52586550.0,-73.9832251,40.776966200000004,2
165690,1974.0,9774000.0,-73.9353713,40.8015311,3
169422,2010.0,31244400.0,-73.991031,40.7517923,2
169438,2002.0,14914350.0,-73.9868304,40.7487644,2
169487,1971.0,42648300.0,-73.97204920000001,40.753479999999996,3
169774,2017.0,348648750.0,-74.0015773,40.7527011,2
177662,1926.0,11339100.0,-73.9491704,40.8138289,0
178906,1973.0,24313950.0,-73.98827370000001,40.7710986,3
199579,1927.0,22449150.0,-73.9719865,40.7565953,0
199580,1985.0,13761450.0,-73.9713947,40.7563371,3
199675,1926.0,33238350.0,-73.9781136,40.7624347,0
199693,1956.0,74338650.0,-74.01146240000001,40.706613399999995,3
199707,1932.0,52962750.0,-74.01165350000001,40.706272999999996,0
199714,1912.0,66271950.0,-74.0107629,40.7076263,0
199715,2002.0,32504850.0,-74.0081948,40.707363,2
199716,1907.0,31275450.0,-74.0131688,40.70808710000001,0
199722,1929.0,46988232.0,-74.0087752,40.7056282,0
199729,2017.0,36254250.0,-74.01298129999999,40.708408299999995,2
199731,1983.0,27614700.0,-74.0130242,40.706854799999995,3
