,bldgclass,bldgarea,officearea,retailarea,resarea,comarea,unitstotal,assesstot,longitude,latitude,Cluster
201620,O4,629323.0,626305.0,6000.0,0.0,632305.0,17.0,102332700.0,-73.97409959999999,40.7527476,2
201623,O4,272532.0,263532.0,9000.0,0.0,272532.0,43.0,60466500.0,-73.97376070000001,40.760932399999994,2
201629,O4,380000.0,360000.0,20000.0,0.0,380000.0,92.0,53970300.0,-73.97441459999999,40.7502719,2
201630,O4,1212596.0,1177646.0,34930.0,0.0,1212596.0,1.0,222435000.0,-73.9761058,40.754392200000005,1
201637,O4,289356.0,279338.0,10018.0,0.0,289356.0,50.0,37296900.0,-73.9738693,40.7510156,2
201646,RM,110149.0,0.0,9728.0,100421.0,9728.0,80.0,16563614.0,-73.9712564,40.7505594,0
201662,O4,490020.0,486069.0,3931.0,0.0,490020.0,80.0,56789550.0,-73.97178509999999,40.7550115,2
201667,O4,1586876.0,1528689.0,58177.0,0.0,1586876.0,35.0,373849200.0,-73.9747233,40.75462520000001,3
201682,O4,526124.0,516824.0,9300.0,0.0,526124.0,56.0,92158650.0,-73.9713553,40.7556345,2
201689,O4,304640.0,294000.0,10640.0,0.0,304640.0,16.0,45078300.0,-73.97076259999999,40.7572125,2
201867,O4,656428.0,631280.0,2350.0,0.0,633650.0,38.0,120366000.0,-73.97702159999999,40.7572304,2
203013,O4,393686.0,309400.0,17567.0,0.0,393686.0,4.0,27105750.0,-73.9838272,40.6911241,2
203045,D7,456082.0,0.0,8750.0,421000.0,35082.0,494.0,49792050.0,-73.98595440000001,40.692741,0
203048,D7,667250.0,54233.0,0.0,0.0,54233.0,418.0,19788750.0,-73.9823922,40.690402,0
203100,D6,706521.0,16000.0,25756.0,0.0,290356.0,485.0,55005750.0,-73.98496340000001,40.6897875,0
203106,D6,333461.0,69488.0,27104.0,236869.0,96592.0,329.0,21330000.0,-73.98151999999999,40.688788,0
215936,O4,1359110.0,1346382.0,12728.0,0.0,1359110.0,11.0,98641350.0,-73.94406409999999,40.747058100000004,1
227300,H2,243912.0,0.0,2991.0,0.0,2991.0,2.0,27947250.0,-73.9881637,40.7602403,0
227310,D6,2035745.0,0.0,65241.0,1635904.0,399841.0,1706.0,202391550.0,-73.9937914,40.759389899999995,0
227378,H2,75902.0,,,,,1.0,11819250.0,-73.98814209999999,40.7601004,0
240655,D4,231417.0,0.0,0.0,225000.0,6417.0,201.0,10513800.0,-73.9848889,40.7161977,0
240874,D7,293978.0,0.0,18704.0,264104.0,29874.0,273.0,37579950.0,-73.99044359999999,40.745589100000004,0
240940,H3,78843.0,0.0,400.0,0.0,400.0,1.0,15612300.0,-73.9849073,40.7463323,0
241027,D4,114407.0,0.0,1674.0,110533.0,3874.0,151.0,14988150.0,-73.9836269,40.743373299999995,0
241084,D4,107504.0,4700.0,0.0,102804.0,4700.0,112.0,12380850.0,-73.9781508,40.748033,0
241088,RM,121435.0,0.0,0.0,22666.0,0.0,135.0,12589200.0,-73.977144,40.7475607,0
241095,D7,181226.0,11686.0,5200.0,137384.0,43842.0,168.0,24998400.0,-73.98367859999999,40.7385783,0
241124,RC,977745.0,592180.0,21141.0,0.0,977745.0,2.0,87316398.0,-73.9810746,40.7465102,1
241194,RM,630198.0,0.0,29531.0,464142.0,166056.0,622.0,133226550.0,-73.99042890000001,40.7727182,0
241255,RM,343069.0,0.0,0.0,263775.0,79294.0,290.0,45727667.0,-73.9626588,40.7644399,0
241399,D4,232400.0,0.0,0.0,232400.0,0.0,163.0,20473650.0,-73.9488276,40.771027399999994,0
248472,D6,449695.0,142273.0,17379.0,290043.0,159652.0,353.0,39942450.0,-73.9666071,40.7159468,0
251662,D4,560525.0,0.0,25080.0,493945.0,66580.0,466.0,48340800.0,-73.9567328,40.767635399999996,0
252844,D6,589670.0,6378.0,19922.0,514585.0,75085.0,523.0,64358550.0,-73.98790059999999,40.778396799999996,0
262925,D7,113438.0,16102.0,0.0,97336.0,16102.0,68.0,8626500.0,-73.964623,40.7636692,0
265657,O4,1056600.0,1056600.0,0.0,0.0,1056600.0,1.0,70305750.0,-74.0036757,40.7129735,1
265688,Z1,635000.0,635000.0,0.0,0.0,635000.0,31.0,50865300.0,-74.00231219999999,40.713657,2
265818,H1,121165.0,0.0,3137.0,0.0,3137.0,0.0,22947300.0,-73.9998377,40.7197751,0
266971,RM,512503.0,55837.0,11515.0,445151.0,67352.0,391.0,61523550.0,-73.9930761,40.730498600000004,0
266985,D6,489709.0,0.0,22000.0,433959.0,55750.0,486.0,69371550.0,-73.9934441,40.730070500000004,0
267003,H8,181380.0,0.0,0.0,0.0,1380.0,212.0,14938650.0,-73.9892656,40.7321095,0
267711,H2,172767.0,0.0,0.0,0.0,3980.0,1.0,36060300.0,-73.9943125,40.744162100000004,0
267729,H2,185831.0,,,,,1.0,17131950.0,-73.9927462,40.744302000000005,0
267735,H2,154812.0,,,,,1.0,16519050.0,-73.9929411,40.744060499999996,0
267767,D6,269947.0,0.0,8150.0,253647.0,16300.0,297.0,47457900.0,-73.9915046,40.745257099999996,0
267815,H1,473391.0,0.0,5500.0,0.0,22500.0,538.0,42259050.0,-73.991663,40.748704499999995,0
267833,H2,105328.0,0.0,2075.0,7795.0,2075.0,1.0,9905850.0,-73.9920747,40.7464483,0
267844,H2,217166.0,,,,,1.0,34189650.0,-73.992432,40.74659929999999,0
267916,D7,428340.0,0.0,20916.0,376715.0,51625.0,410.0,59175900.0,-73.9912233,40.7443376,0
267924,H2,101189.0,32790.0,6558.0,0.0,39348.0,1.0,4852800.0,-73.989469,40.7468461,0
267971,H1,272334.0,,,,,1.0,9840600.0,-73.9891552,40.74572620000001,0
267978,H1,272334.0,,,,,1.0,5670450.0,-73.98893509999999,40.745572499999994,0
268026,D6,194422.0,0.0,6951.0,187471.0,6951.0,224.0,23850450.0,-73.9871228,40.7484104,0
268057,H2,88551.0,14700.0,3500.0,0.0,18200.0,173.0,549000.0,-73.984942,40.752458600000004,0
268070,H2,133564.0,0.0,2000.0,0.0,10095.0,1.0,15219900.0,-73.9838125,40.751912299999994,0
268106,O4,524937.0,519737.0,5200.0,0.0,524937.0,159.0,42750450.0,-73.9862687,40.7423828,2
268113,D8,407555.0,0.0,0.0,388946.0,18609.0,406.0,61618500.0,-73.9862141,40.7446417,0
268115,RM,147728.0,0.0,7210.0,140518.0,7210.0,65.0,30519456.0,-73.98810590000001,40.740508399999996,0
268117,RM,363054.0,0.0,8659.0,336846.0,26208.0,426.0,63643051.0,-73.9888889,40.7407939,0
268156,D8,229251.0,17885.0,4000.0,0.0,21885.0,123.0,26319150.0,-73.9847202,40.7441612,0
268168,D6,407521.0,0.0,3944.0,403577.0,3944.0,201.0,45695700.0,-73.9851529,40.7457175,0
268335,D4,150340.0,0.0,8000.0,142340.0,8000.0,191.0,17988300.0,-73.98433490000001,40.7405353,0
268527,O4,449437.0,399055.0,13700.0,0.0,449437.0,78.0,31475700.0,-73.982089,40.7454015,2
268818,D8,624519.0,21751.0,26372.0,566383.0,58136.0,470.0,62190900.0,-73.9746934,40.7479335,0
268855,D8,373248.0,0.0,0.0,373248.0,0.0,372.0,46598850.0,-73.9745054,40.7487075,0
268961,D6,438635.0,0.0,300.0,408110.0,30525.0,720.0,43039800.0,-73.9724525,40.7470876,0
268986,D8,268874.0,0.0,15510.0,253364.0,15510.0,255.0,28845900.0,-73.97319940000001,40.7475489,0
269022,D4,192543.0,0.0,0.0,178893.0,0.0,153.0,21868650.0,-73.97714859999999,40.776408,0
269050,RM,216606.0,1600.0,8252.0,206754.0,9852.0,270.0,33572250.0,-73.9825427,40.7768096,0
269145,D9,631204.0,0.0,34474.0,532592.0,98612.0,506.0,67217400.0,-73.988385,40.775152500000004,0
269202,D6,374550.0,0.0,13449.0,326843.0,37982.0,252.0,11419650.0,-73.9676814,40.7916335,0
269433,D6,169828.0,0.0,2170.0,166828.0,2170.0,182.0,16244550.0,-73.9717216,40.751569599999996,0
269434,RM,109822.0,0.0,5415.0,19321.0,5415.0,8.0,15884100.0,-73.9723639,40.75183320000001,0
269445,O4,171591.0,171571.0,0.0,0.0,171591.0,53.0,33064200.0,-73.9704508,40.760349700000006,0
269519,D4,261401.0,0.0,0.0,261401.0,0.0,459.0,24745050.0,-73.9714808,40.749209,0
269523,D7,60245.0,0.0,585.0,59660.0,585.0,59.0,7053750.0,-73.9677016,40.7575576,0
269537,O4,189840.0,65989.0,0.0,0.0,65989.0,21.0,25713900.0,-73.9685419,40.7513958,0
269545,O4,325000.0,325000.0,0.0,0.0,325000.0,2.0,58147200.0,-73.9689248,40.750707,2
269553,D6,253256.0,0.0,250.0,238306.0,14950.0,250.0,25450200.0,-73.9695596,40.751700799999995,0
269776,D4,246320.0,0.0,5000.0,231320.0,15000.0,184.0,27504900.0,-73.9643912,40.7651238,0
269873,RM,197415.0,0.0,21581.0,165787.0,31478.0,151.0,36478364.0,-73.9582887,40.7734658,0
270214,RM,258451.0,0.0,24824.0,204465.0,53986.0,209.0,41845054.0,-73.95813199999999,40.7642818,0
270372,D3,530809.0,0.0,0.0,514209.0,16600.0,427.0,45603450.0,-73.9508903,40.7694446,0
270604,D6,693459.0,30000.0,10000.0,615459.0,78000.0,586.0,44526150.0,-73.94971140000001,40.7816115,0
270616,D6,251307.0,0.0,11819.0,229626.0,21681.0,73.0,16972200.0,-73.95408570000001,40.774112,0
270630,RD,666393.0,0.0,57376.0,507214.0,159179.0,648.0,74203018.0,-73.95109090000001,40.7813596,0
270829,D6,302049.0,0.0,9251.0,262947.0,39102.0,316.0,34145550.0,-73.9516385,40.7732052,0
271691,D9,247156.0,53262.0,0.0,175388.0,71768.0,148.0,8113950.0,-73.93615129999999,40.8017346,0
271769,D9,285185.0,53263.0,6033.0,207382.0,77803.0,216.0,10057950.0,-73.93663149999999,40.8019353,0
272725,D3,256528.0,0.0,0.0,177632.0,78896.0,146.0,8037900.0,-73.9599017,40.8169072,0
272734,D4,1487977.0,48000.0,12000.0,1427977.0,60000.0,1229.0,24517350.0,-73.936261,40.822926700000004,0
272735,D3,339104.0,0.0,0.0,202104.0,137000.0,182.0,9502200.0,-73.9603497,40.8168717,0
273788,I4,1651267.0,0.0,0.0,0.0,1651267.0,236.0,127188450.0,-73.9430278,40.8447809,1
273819,I4,807327.0,0.0,0.0,0.0,807327.0,1.0,67987350.0,-73.94332490000001,40.8439192,2
275137,D7,278555.0,12122.0,34533.0,231900.0,46655.0,279.0,4283550.0,-73.92852090000001,40.816988099999996,0
282942,D6,1074490.0,0.0,600.0,1073889.0,600.0,872.0,15732900.0,-73.8861876,40.8795554,0
292449,W9,959880.0,4150.0,0.0,0.0,959880.0,2.0,65919150.0,-73.84443329999999,40.852443900000004,2
293093,Z9,1736.0,0.0,0.0,0.0,1736.0,1.0,76500.0,-73.8305146,40.8546722,0
300090,D4,318060.0,0.0,0.0,291180.0,26880.0,266.0,6223050.0,-73.8609397,40.8776339,0
316469,D6,362940.0,0.0,0.0,196574.0,166366.0,79.0,10954350.0,-73.99083929999999,40.7022,0
316598,D4,352698.0,0.0,0.0,331698.0,21000.0,250.0,8219700.0,-73.9912615,40.7003528,0
327637,D3,320000.0,0.0,0.0,320000.0,0.0,321.0,10713150.0,-73.9598184,40.6676559,0
341393,D4,252500.0,0.0,0.0,252500.0,0.0,300.0,9093600.0,-73.9701642,40.682930999999996,0
