,Unnamed: 0,geometry
307,164909,POINT (-73.98985500000001 40.7477931)
308,164923,POINT (-73.9423493 40.7476693)
309,164930,POINT (-73.9814068 40.7715149)
310,164947,POINT (-73.9862031 40.7456326)
311,164948,POINT (-73.9868427 40.7778505)
312,164975,POINT (-74.01058959999997 40.7065311)
313,164983,POINT (-73.967569 40.7555731)
314,165032,POINT (-73.98486020000001 40.7473287)
315,165054,POINT (-73.98363670000001 40.7474054)
316,165056,POINT (-73.9877972 40.7708981)
317,165071,POINT (-73.9849779 40.7695062)
318,165090,POINT (-73.9826939 40.76468610000001)
319,165138,POINT (-74.00695470000002 40.7142661)
320,165163,POINT (-74.0017036 40.7519848)
321,165171,POINT (-73.96197420000001 40.7683646)
322,165186,POINT (-73.94152740000001 40.7466286)
323,165231,POINT (-74.0027994 40.7189434)
324,165631,POINT (-73.9832251 40.7769662)
325,165690,POINT (-73.9353713 40.8015311)
326,169422,POINT (-73.99103100000001 40.7517923)
327,169438,POINT (-73.9868304 40.7487644)
328,169487,POINT (-73.97204920000001 40.75348)
329,169774,POINT (-74.00157729999999 40.7527011)
330,177662,POINT (-73.9491704 40.8138289)
331,178906,POINT (-73.98827370000002 40.7710986)
332,199579,POINT (-73.9719865 40.7565953)
333,199580,POINT (-73.9713947 40.7563371)
334,199675,POINT (-73.9781136 40.7624347)
335,199693,POINT (-74.01146240000001 40.7066134)
336,199707,POINT (-74.01165350000002 40.706273)
337,199714,POINT (-74.0107629 40.7076263)
338,199715,POINT (-74.0081948 40.707363)
339,199716,POINT (-74.0131688 40.70808710000001)
340,199722,POINT (-74.0087752 40.7056282)
341,199729,POINT (-74.01298129999998 40.7084083)
342,199731,POINT (-74.0130242 40.7068548)
343,199733,POINT (-74.01283670000002 40.7071046)
344,199737,POINT (-74.0119996 40.7053123)
345,199741,POINT (-74.012664 40.7093333)
346,199758,POINT (-74.00914399999998 40.7122184)
347,199759,POINT (-74.00865340000001 40.7119906)
348,199762,POINT (-74.0097935 40.71372520000001)
349,199788,POINT (-74.00976429999999 40.7108515)
350,199790,POINT (-74.010244 40.7111396)
351,200094,POINT (-73.9995885 40.7552291)
352,200098,POINT (-74.0024363 40.7524321)
353,200107,POINT (-74.0032989 40.7528027)
354,200110,POINT (-74.00042590000002 40.7573617)
355,200114,POINT (-73.9986681 40.7546801)
356,200117,POINT (-73.99889190000002 40.75561879999999)
357,200122,POINT (-74.00176500000001 40.75524)
358,200133,POINT (-73.99904709999998 40.7565383)
359,200139,POINT (-73.99651329999998 40.7539335)
360,200143,POINT (-73.99816640000002 40.7570598)
361,200158,POINT (-73.9996426 40.75847329999999)
362,200180,POINT (-73.99364399999997 40.7527229)
363,200193,POINT (-73.994615 40.7522619)
364,200194,POINT (-73.99374499999998 40.7537412)
365,200196,POINT (-73.9942033 40.7539361)
366,200241,POINT (-73.9925358 40.7545289)
367,200253,POINT (-73.99439459999998 40.7548227)
368,200259,POINT (-73.99308420000001 40.75669179999999)
369,200276,POINT (-73.99283879999999 40.75627460000001)
370,200300,POINT (-73.9917343 40.7561235)
371,200319,POINT (-73.9923695 40.7563898)
372,200320,POINT (-73.99252829999998 40.7564585)
373,200323,POINT (-73.9892766 40.75345)
374,200332,POINT (-73.99287120000002 40.75660120000001)
375,200417,POINT (-73.9838656 40.7560568)
376,200422,POINT (-73.9866888 40.75295560000001)
377,200426,POINT (-73.98538559999999 40.7540314)
378,200432,POINT (-73.9878944 40.752566)
379,200442,POINT (-73.98626259999998 40.7546518)
380,200447,POINT (-73.98716850000002 40.75499779999999)
381,200449,POINT (-73.98336009999998 40.7566716)
382,200453,POINT (-73.984645 40.7571548)
383,200457,POINT (-73.9868007 40.7532466)
384,200458,POINT (-73.9875657 40.7541936)
