index_right,ntaname,Unnamed: 0.1,geometry
711,Battery Park City-Lower Manhattan,645576,POINT (-74.01371359999997 40.70916029999999)
712,Battery Park City-Lower Manhattan,645577,POINT (-74.0155345 40.7063823)
713,Battery Park City-Lower Manhattan,645583,POINT (-74.01234340000001 40.711639)
714,Battery Park City-Lower Manhattan,645585,POINT (-74.01561020000003 40.706182)
715,Battery Park City-Lower Manhattan,645586,POINT (-74.01412459999997 40.7082654)
716,Battery Park City-Lower Manhattan,645590,POINT (-74.0149938 40.7077603)
717,Battery Park City-Lower Manhattan,645597,POINT (-74.0140885 40.7078757)
718,SoHo-TriBeCa-Civic Center-Little Italy,645610,POINT (-74.0129354 40.7137743)
719,SoHo-TriBeCa-Civic Center-Little Italy,645632,POINT (-74.01259300000002 40.7154075)
720,Hudson Yards-Chelsea-Flatiron-Union Square,645663,POINT (-74.00741979999999 40.7447)
721,Hunters Point-Sunnyside-West Maspeth,651619,POINT (-73.9583361 40.74384179999999)
722,Hunters Point-Sunnyside-West Maspeth,651621,POINT (-73.9571016 40.7443436)
723,Hunters Point-Sunnyside-West Maspeth,651624,POINT (-73.95901490000001 40.743315)
724,Hunters Point-Sunnyside-West Maspeth,651625,POINT (-73.9595535 40.7419154)
725,Hunters Point-Sunnyside-West Maspeth,651801,POINT (-73.9574975 40.74596320000001)
726,Hunters Point-Sunnyside-West Maspeth,651802,POINT (-73.95666440000002 40.74506810000001)
727,Hunters Point-Sunnyside-West Maspeth,651806,POINT (-73.95623089999999 40.7456992)
728,Co-op City,651874,POINT (-73.82194790000001 40.8639144)
729,Greenpoint,652141,POINT (-73.9595676 40.73642589999999)
730,Battery Park City-Lower Manhattan,652173,POINT (-74.00819799999999 40.7042257)
731,Battery Park City-Lower Manhattan,652175,POINT (-74.0067554 40.7052441)
732,Battery Park City-Lower Manhattan,652176,POINT (-74.0061676 40.7056614)
733,Battery Park City-Lower Manhattan,652177,POINT (-74.0072603 40.7047912)
734,Murray Hill-Kips Bay,655662,POINT (-73.97928829999999 40.745895)
735,Murray Hill-Kips Bay,655670,POINT (-73.97274449999998 40.7389687)
736,SoHo-TriBeCa-Civic Center-Little Italy,656487,POINT (-74.00781009999999 40.7129788)
737,Midtown-Midtown South,658234,POINT (-73.9850065 40.7547532)
738,Midtown-Midtown South,658243,POINT (-73.9785716 40.7637769)
739,Turtle Bay-East Midtown,658318,POINT (-73.9716595 40.7532713)
740,Midtown-Midtown South,658320,POINT (-73.97964520000002 40.7591495)
741,Lenox Hill-Roosevelt Island,658328,POINT (-73.95008609999999 40.7681872)
742,Lenox Hill-Roosevelt Island,658339,POINT (-73.961811 40.7634624)
743,Battery Park City-Lower Manhattan,658372,POINT (-74.01183039999999 40.7071211)
744,Lincoln Square,658392,POINT (-73.9850125 40.7760469)
745,Yorkville,658417,POINT (-73.94884140000001 40.7813504)
746,Lincoln Square,659149,POINT (-73.98827259999999 40.7775652)
747,Battery Park City-Lower Manhattan,659880,POINT (-74.01049999999999 40.7104644)
748,Battery Park City-Lower Manhattan,659899,POINT (-74.0101141 40.7104836)
749,SoHo-TriBeCa-Civic Center-Little Italy,659918,POINT (-74.0063136 40.7245975)
750,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,660124,POINT (-73.9828454 40.6950105)
751,Murray Hill-Kips Bay,662240,POINT (-73.97322109999998 40.7472415)
752,Lincoln Square,662267,POINT (-73.98570359999999 40.769166)
753,Hunters Point-Sunnyside-West Maspeth,666753,POINT (-73.95603509999999 40.7472225)
754,Prospect Heights,671273,POINT (-73.9739541 40.681705)
755,Murray Hill-Kips Bay,671848,POINT (-73.97897640000002 40.7392033)
756,Lincoln Square,672025,POINT (-73.98839630000001 40.7720428)
757,Midtown-Midtown South,672031,POINT (-73.981002 40.76054129999999)
758,Midtown-Midtown South,672086,POINT (-73.99075309999998 40.75146289999999)
759,Yorkville,672133,POINT (-73.9448709 40.77955900000001)
760,Midtown-Midtown South,672490,POINT (-73.9797985 40.7535063)
761,Greenpoint,672767,POINT (-73.95909109999999 40.7368265)
762,Lower East Side,673964,POINT (-73.97584499999998 40.7269611)
763,North Side-South Side,674200,POINT (-73.96422790000003 40.7196954)
764,Marble Hill-Inwood,674638,POINT (-73.9134842 40.87558)
765,Battery Park City-Lower Manhattan,674802,POINT (-74.0129013 40.7054275)
766,Midtown-Midtown South,674922,POINT (-73.9828835 40.7572891)
767,Midtown-Midtown South,674952,POINT (-73.9888723 40.7541032)
768,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,675060,POINT (-73.98064429999999 40.6872205)
769,Turtle Bay-East Midtown,676375,POINT (-73.96906009999999 40.7546348)
770,Lenox Hill-Roosevelt Island,676621,POINT (-73.954936 40.76606470000001)
771,Lincoln Square,676803,POINT (-73.98948609999999 40.7757016)
772,Lincoln Square,676839,POINT (-73.98994829999999 40.7750511)
773,Lenox Hill-Roosevelt Island,676841,POINT (-73.95389899999998 40.7674092)
774,Clinton Hill,679541,POINT (-73.96737759999998 40.6821342)
775,SoHo-TriBeCa-Civic Center-Little Italy,680128,POINT (-74.0108694 40.7195193)
776,Hudson Yards-Chelsea-Flatiron-Union Square,680669,POINT (-73.9941608 40.7455454)
777,Midtown-Midtown South,680718,POINT (-73.9888988 40.7465935)
778,Hudson Yards-Chelsea-Flatiron-Union Square,680733,POINT (-73.99240340000001 40.7440055)
779,Midtown-Midtown South,680761,POINT (-73.98531870000002 40.7467194)
780,Midtown-Midtown South,680762,POINT (-73.9821208 40.7477153)
781,Hudson Yards-Chelsea-Flatiron-Union Square,680765,POINT (-73.98461570000001 40.7432554)
782,Murray Hill-Kips Bay,680792,POINT (-73.9826908 40.74893400000001)
783,Hudson Yards-Chelsea-Flatiron-Union Square,680807,POINT (-73.98648540000001 40.7415128)
784,Murray Hill-Kips Bay,680954,POINT (-73.97915709999999 40.7383799)
785,Murray Hill-Kips Bay,680972,POINT (-73.9727199 40.7463274)
786,Lincoln Square,681012,POINT (-73.98277390000001 40.77612620000001)
787,Lincoln Square,681068,POINT (-73.98940329999998 40.77379129999999)
788,Upper West Side,681098,POINT (-73.9697013 40.7892049)
789,Turtle Bay-East Midtown,681222,POINT (-73.9733432 40.748957)
790,Upper East Side-Carnegie Hill,681231,POINT (-73.96484270000001 40.7644982)
791,Yorkville,681377,POINT (-73.9490095 40.77391770000001)
792,Yorkville,681395,POINT (-73.95230620000002 40.773469)
793,East Harlem North,682070,POINT (-73.9396761 40.8022965)
794,Lincoln Square,683278,POINT (-73.9885616 40.7769806)
795,Yorkville,689190,POINT (-73.9459804 40.7783189)
796,Murray Hill-Kips Bay,689374,POINT (-73.980597 40.7504653)
797,Brooklyn Heights-Cobble Hill,689469,POINT (-73.9919295 40.6939027)
798,Lincoln Square,689485,POINT (-73.98371059999999 40.7699425)
799,Bay Ridge,689907,POINT (-74.0228618 40.6383217)
800,Hunters Point-Sunnyside-West Maspeth,689947,POINT (-73.9378882 40.748043)
801,Fort Greene,691654,POINT (-73.97997650000001 40.6896907)
802,Sunset Park West,691730,POINT (-74.0250025 40.6396085)
803,Hunters Point-Sunnyside-West Maspeth,691788,POINT (-73.93732850000001 40.7483831)
804,Hunters Point-Sunnyside-West Maspeth,691789,POINT (-73.9384223 40.748101)
805,Yorkville,693292,POINT (-73.94814620000002 40.77912960000001)
806,Battery Park City-Lower Manhattan,694232,POINT (-74.0093816 40.70884229999999)
807,Battery Park City-Lower Manhattan,694238,POINT (-74.00912159999999 40.7064764)
808,Battery Park City-Lower Manhattan,694265,POINT (-74.0091254 40.7077691)
809,Battery Park City-Lower Manhattan,694276,POINT (-74.0077912 40.7111727)
810,Battery Park City-Lower Manhattan,694280,POINT (-74.01011740000001 40.7086501)
811,SoHo-TriBeCa-Civic Center-Little Italy,694395,POINT (-74.00499240000001 40.7147191)
812,SoHo-TriBeCa-Civic Center-Little Italy,694515,POINT (-74.00463570000002 40.7200001)
813,West Village,695825,POINT (-73.9961934 40.7319068)
814,Hudson Yards-Chelsea-Flatiron-Union Square,697791,POINT (-73.9873552 40.7412686)
815,Hudson Yards-Chelsea-Flatiron-Union Square,697792,POINT (-73.98558659999998 40.742745)
816,Midtown-Midtown South,697987,POINT (-73.9867132 40.757221)
817,Midtown-Midtown South,698017,POINT (-73.9856417 40.7549619)
